央视,#genre#
CCTV-17高清,http://45.154.14.47:5678/geehyx.php?id=CCTV17HD_6000$Source=歌华
CCTV-1 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv1hd$Source=爱尚
CCTV-2 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv2hd$Source=爱尚
CCTV-3 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv3hd$Source=爱尚
CCTV-4 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv4hd$Source=爱尚
CCTV-5 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv5hd$Source=爱尚
CCTV-5+高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv5p$Source=爱尚
CCTV-6 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv6hd$Source=爱尚
CCTV-7 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv7hd$Source=爱尚
CCTV-8 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv8hd$Source=爱尚
CCTV-9 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv9hd2$Source=爱尚
CCTV-10高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv10hd$Source=爱尚
CCTV-11高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv11hd$Source=爱尚
CCTV-12高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv12hd$Source=爱尚
CCTV-13高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv13hd$Source=爱尚
CCTV-14高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv14hd$Source=爱尚
CCTV-15高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv15hd$Source=爱尚
CCTV-16高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv16hd$Source=爱尚
CCTV-17高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cctv17hd$Source=爱尚
卫视,#genre#
北京卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=bjwsH265_4000$Source=小果
北京卫视 高清,http://45.154.14.47:5678/geehyx.php?id=BTV1HD_6000$Source=歌华
北京卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=bjwshd$Source=爱尚
天津卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=tjwsH265_4000$Source=小果
天津卫视 高清,http://45.154.14.47:5678/geehyx.php?id=TianJinHD_6000$Source=歌华
天津卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=tjwshd$Source=爱尚
东方卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=dfwsH265_4000$Source=小果
东方卫视 高清,http://45.154.14.47:5678/geehyx.php?id=DongFangHD_6000$Source=歌华
东方卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=dfwshd$Source=爱尚
东南卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=dnwsfjwsH265_4000$Source=小果
东南卫视 高清,http://45.154.14.47:5678/geehyx.php?id=FuJianHD_6000$Source=歌华
东南卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=dnwshd$Source=爱尚
江苏卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=jswsH265_4000$Source=小果
江苏卫视 高清,http://45.154.14.47:5678/geehyx.php?id=JiangSuHD_6000$Source=歌华
江苏卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=jswshd$Source=爱尚
浙江卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=zjwsH265_4000$Source=小果
浙江卫视 高清,http://45.154.14.47:5678/geehyx.php?id=ZheJiangHD_6000$Source=歌华
浙江卫视 高清,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=zjwshd$Source=爱尚
安徽卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=ahwsH265_4000$Source=小果
安徽卫视 高清,http://45.154.14.47:5678/geehyx.php?id=AnHuiHD_6000$Source=歌华
安徽卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=ahwshd$Source=爱尚
河南卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=hnws35_4000$Source=小果
河南卫视 高清,http://45.154.14.47:5678/geehyx.php?id=HeNanHD_6000$Source=歌华
河南卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=hnws$Source=爱尚
河北卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=hbwshd$Source=爱尚
河北卫视 高清,http://45.154.14.47:5678/geehyx.php?id=HeBeiHD_6000$Source=歌华
山东卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=sdwsH265_4000$Source=小果
山东卫视 高清,http://45.154.14.47:5678/geehyx.php?id=ShanDongHD_6000$Source=歌华
山东卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=sdwshd$Source=爱尚
广东卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=gdwsH265_4000$Source=小果
广东卫视 高清,http://45.154.14.47:5678/geehyx.php?id=GuangDongHD_6000$Source=歌华
广东卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=gdwshd$Source=爱尚
广西卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=gxws_4000$Source=小果
广西卫视 高清,http://45.154.14.47:5678/geehyx.php?id=GuangXiHD_6000$Source=歌华
广西卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=gxws$Source=爱尚
深圳卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=szwsH265_4000$Source=小果
深圳卫视 高清,http://45.154.14.47:5678/geehyx.php?id=ShenZhenHD_6000$Source=歌华
深圳卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=szwshd$Source=爱尚
四川卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=scwsH265_4000$Source=小果
四川卫视 高清,http://45.154.14.47:5678/geehyx.php?id=SiChuanHD_6000$Source=歌华
四川卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=scws$Source=爱尚
重庆卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=cqwsH265_4000$Source=小果
重庆卫视 高清,http://45.154.14.47:5678/geehyx.php?id=ChongQingHD_6000$Source=歌华
重庆卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=cqws$Source=爱尚
湖南卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=hnwsH265_4000$Source=小果
湖南卫视 高清,http://45.154.14.47:5678/geehyx.php?id=HuNanHD_6000$Source=歌华
湖南卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=hunwshd$Source=爱尚
湖北卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=hbwsH265_4000$Source=小果
湖北卫视 高清,http://45.154.14.47:5678/geehyx.php?id=HuBeiHD_6000$Source=歌华
湖北卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=hubwshd$Source=爱尚
江西卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=jxwsH265_4000$Source=小果
江西卫视 高清,http://45.154.14.47:5678/geehyx.php?id=JiangXiHD_6000$Source=歌华
江西卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=jxws$Source=爱尚
贵州卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=gzwsH265_4000$Source=小果
贵州卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=gzwshd$Source=爱尚
吉林卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=jlwsH265_4000$Source=小果
吉林卫视 高清,http://45.154.14.47:5678/geehyx.php?id=JiLinWeiShiHD_6000$Source=歌华
吉林卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=jlws$Source=爱尚
甘肃卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=gsws_4000$Source=小果
甘肃卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=gsws$Source=爱尚
云南卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=ynws_4000$Source=小果
云南卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=ynws$Source=爱尚
海南卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=hnws_4000$Source=小果
海南卫视 高清,http://45.154.14.47:5678/geehyx.php?id=LvYouWeiShiHD_6000$Source=歌华
陕西卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=sxws_4000$Source=小果
陕西卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=sxws$Source=爱尚
山西卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=sxws42_4000$Source=小果
辽宁卫视 高清,http://45.154.14.47:5678/geehyx.php?id=LiaoNingHD_6000$Source=歌华
青海卫视 高清,http://stream.qhbtv.com/qhws/sd/live.m3u8$Source=官网
青海卫视 高清,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484$Source=官网
青海卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=qhws$Source=爱尚
西藏卫视 高清,https://tv.vtibet.cn/live/EfgSmE4jCTBtvchannel3.m3u8$Source=官网
西藏卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=xzwsH264_2000$Source=小果
西藏卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=xzws$Source=爱尚
新疆卫视 高清,http://livehyw5.chinamcache.com/hyw/zb01.m3u8?txSecret=58347f72aece2c25c685b8dc4da74652&txTime=95A66658$Source=官网
新疆卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=xjws$Source=爱尚
内蒙古卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=nmws$Source=爱尚
内蒙古卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=nmgws_4000$Source=小果
黑龙江卫视 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=hljwsH265_4000$Source=小果
黑龙江卫视 高清,http://45.154.14.47:5678/geehyx.php?id=HeiLongJiangHD_6000$Source=歌华
黑龙江卫视 高清,http://zb.ldlive.xyz/zbtv/astv.php?id=hljwshd$Source=爱尚

百视,#genre#
CCTV-1 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv1hd8m/8000000
CCTV-2 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv2hd8m/8000000
CCTV-3 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv38m/8000000
CCTV-4 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv4hd8m/8000000
CCTV-5 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv58m/8000000
CCTV-5+高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv5phd8m/8000000
CCTV-6 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv6hd8m/8000000
CCTV-7 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv7hd8m/8000000
CCTV-8 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv8hd8m/8000000
CCTV-9 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv9hd8m/8000000
CCTV-10高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv10hd8m/8000000
CCTV-11高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv11hd8m/8000000
CCTV-12高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv12hd8m/8000000
CCTV-13高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv13xwhd8m/8000000
CCTV-14高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctvsehd8m/8000000
CCTV-15高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv15hd8m/8000000
CCTV-16高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv16hd8m/8000000
CCTV-17高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv17hd8m/8000000
北京卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=bjwshd8m/8000000
东方卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=dfwshd8m/8000000
江苏卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=jswshd8m/8000000
浙江卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=zjwshd8m/8000000
安徽卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=ahwshd8m/8000000
河南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=hnwshd8m/8000000
河北卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=hbwshd8m/8000000
广东卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=gdwshd8m/8000000
深圳卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=szwshd8m/8000000
广西卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=gxwshd8m/8000000
四川卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=scwshd/8000000
湖南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=hunanwshd8m/8000000
甘肃卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=gswshd8m/8000000
山东卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=sdws8m/8000000
天津卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=tjwshd8m/8000000
辽宁卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=lnwshd8m/8000000
吉林卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=jlwshd8m/8000000
江西卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=jxws8m/8000000
东南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=dnwshd8m/8000000
重庆卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cqws8m/8000000
云南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=ynwshd8m/8000000
贵州卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=gzwshd8m/8000000
海南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=hainanwshd8m/8000000
甘肃卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=gswshd8m/8000000
重庆卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=cqws8m/8000000
黑龙江卫视 高清,http://zb.ldlive.xyz/zbtv/bestv.php?id=hljwshd8m/8000000
CCTV-1 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv1hd8m/8000000
CCTV-2 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv2hd8m/8000000
CCTV-3 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv38m/8000000
CCTV-4 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv4hd8m/8000000
CCTV-5 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv58m/8000000
CCTV-5+,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv5phd8m/8000000
CCTV-6 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv6hd8m/8000000
CCTV-7 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv7hd8m/8000000
CCTV-8 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv8hd8m/8000000
CCTV-9 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv9hd8m/8000000
CCTV-10高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv10hd8m/8000000
CCTV-11高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv11hd8m/8000000
CCTV-12高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv12hd8m/8000000
CCTV-13高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv13xwhd8m/8000000
CCTV-14高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctvsehd8m/8000000
CCTV-15高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv15hd8m/8000000
CCTV-16高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv16hd8m/8000000
CCTV-17高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv17hd8m/8000000
北京卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=bjwshd8m/8000000
东方卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=dfwshd8m/8000000
江苏卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=jswshd8m/8000000
浙江卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=zjwshd8m/8000000
安徽卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=ahwshd8m/8000000
河南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=hnwshd8m/8000000
河北卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=hbwshd8m/8000000
广东卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=gdwshd8m/8000000
深圳卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=szwshd8m/8000000
广西卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=gxwshd8m/8000000
四川卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=scwshd/8000000
湖南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=hunanwshd8m/8000000
甘肃卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=gswshd8m/8000000
山东卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=sdws8m/8000000
天津卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=tjwshd8m/8000000
辽宁卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=lnwshd8m/8000000
吉林卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=jlwshd8m/8000000
江西卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=jxws8m/8000000
东南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=dnwshd8m/8000000
重庆卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cqws8m/8000000
云南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=ynwshd8m/8000000
贵州卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=gzwshd8m/8000000
海南卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=hainanwshd8m/8000000
甘肃卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=gswshd8m/8000000
重庆卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cqws8m/8000000
黑龙江卫视 高清,http://zb.ldlive.xyz/zbtv/bestv2.php?id=hljwshd8m/8000000

超清,#genre#
纯享4K,http://117.169.121.162:6610/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011651&livemode=1&stbId=4
咪咕4K,http://117.136.156.35:80/000000001000/3000000010000005180/index.m3u8
咪咕4K,http://117.136.156.66:80/000000001000/3000000010000005180/index.m3u8
咪咕4K,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://1972762443.cloudvdn.com/a.m3u8?domain=liveshowbak2.kan0512.com&player=TsoAAKTAB9juCfgW&secondToken=secondToken%3Aquo0xZnAeUUm47BcklXb7ffCum8&streamid=ksz-norecord%3Aksz-norecord%2Fcsztv4k_4k&v3=1
爱上4K,http://zb.ldlive.xyz/zbtv/astv.php?id=as4k
爱上4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
测试4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
欢笑剧场4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/hxjc_4K/__op/default/__f//index.m3u8
欢笑剧场4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/hxjc_4K/__op/default/__f//index.m3u8
欢笑剧场4K,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
北京IPTV4K,http://221.179.217.76/PLTV/88888888/224/3221226550/1.m3u8
北京IPTV4K,http://adidaswkkchenrann.asuscomm.com:8012/rtp/239.3.1.249:8001
北京纪实科教8K,https://downlive.brtvcloud.com/8krongmei1502/1502rongmeike8k.m3u8
CCTV-4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV4K/__op/default/__f//index.m3u8
CCTV-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV4K/__op/default/__f//index.m3u8
CCTV-4K,http://nas.jdshipin.com:8801/gdtest.php?id=4005
CCTV-4K,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv4k/15000000
CCTV-4K,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv4k/15000000
CCTV-4K,http://lu1.cc/itv/php/cctv4k.php
CCTV16-4K,http://bytedance.live.cqccn.com/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u8
CCTV16-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u8
CCTV16-4K,http://nas.jdshipin.com:8801/sxgtest.php?id=CCTV-16-4K_8000
CCTV16-4K,http://1.81.2.10/livehkkp.chinamcache.com/live/CCTV-16-4K_8000.m3u8
CCTV16-4K,http://1.81.2.33/livehkkp.chinamcache.com/live/CCTV-16-4K_8000.m3u8
CCTV16-4K,http://1.81.2.38/livehkkp.chinamcache.com/live/CCTV-16-4K_8000.m3u8
CCTV16-4K,http://zb.ldlive.xyz/zbtv/bestv.php?id=cctv16hd4k/15000000
CCTV16-4K,http://zb.ldlive.xyz/zbtv/bestv2.php?id=cctv16hd4k/15000000
Loupe 4K,http://d2dw21aq0j0l5c.cloudfront.net/playlist.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Clarity 4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
Clarity 4K,https://d6s2o8so4wk28.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-2vzmnn0zl3exh-prod/amgclarity4k/playlist.m3u8
Fashion TV 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/LoveNature4K2-prod/playlist.m3u8

数字,#genre#
IPTV淘剧场,http://222.128.98.255:4000/rtp/239.3.1.95:8001
IPTV淘剧场,http://lay6.3322.org:4022/udp/239.3.1.95:8001
IPTV淘剧场,http://router.tonyliangli.cn:4022/udp/239.3.1.95:8001
IPTV淘剧场,http://adidaswkkchenrann.asuscomm.com:8012/rtp/239.3.1.95:8001
IPTV淘电影,http://222.128.98.255:4000/rtp/239.3.1.250:8001
IPTV淘电影,http://lay6.3322.org:4022/udp/239.3.1.250:8001
IPTV淘电影,http://router.tonyliangli.cn:4022/udp/239.3.1.250:8001
IPTV淘电影,http://adidaswkkchenrann.asuscomm.com:8012/rtp/239.3.1.250:8001
IPTV淘娱乐,http://222.128.98.255:4000/rtp/239.3.1.100:8001
IPTV淘娱乐,http://lay6.3322.org:4022/udp/239.3.1.100:8001
IPTV淘娱乐,http://router.tonyliangli.cn:4022/udp/239.3.1.100:8001
IPTV淘娱乐,http://adidaswkkchenrann.asuscomm.com:8012/rtp/239.3.1.100:8001
IPTV淘BABY,http://222.128.98.255:4000/rtp/239.3.1.238:8001
IPTV淘BABY,http://lay6.3322.org:4022/udp/239.3.1.238:8001
